title,year,genres,rating,directors,description
Ng yan ji dai,1997,"Comedy, Romance",6.2,Wilson Yip,Anthony Wong and Jan Lamb are unenthusiastic teachers till new colleague Cathy Tsui rekindles their interest in school and life.
"Niin se on, poijaat!",1942,"Comedy, Music",3.8,Ossi Elstelä,
Никто не знает ничего,1947,"Comedy, War",7.4,Josef Mach,"Only 2 years after the end of WWII, a comedy,with much ingenious clowning,on Nazism in which two Prague street car conductors need to quietly remove a drunken German soldier from the occupie... Read all"
Niskavuoren Heta,1952,Drama,6.8,Edvin Laine,
Niskavuori taistelee,1957,"Drama, War",5.7,Edvin Laine,
Nunca Fomos Tão Felizes,1984,Drama,6.5,Murilo Salles,"Carlos, a left-wing militant involved in actions against the Brazilian dictatorship in the early seventies, decides to get closer to his teenage son Gabriel, but his duties towards the revol... Read all"
Odyssey,1986,Short,7.0,Barry J. Hershey,"The film is a visual poem shot in the Anza-Borrego Desert. The work portrays the odyssey of a woman/goddess/mankind from birth into innocence, through growth into pride and sin, to death, an... Read all"
"Oho, sanoi Eemeli",1960,Comedy,4.8,Ville Salminen,
Oksat pois...,1961,"Comedy, Crime",5.9,Aarne Tarkas,
On lautalla pienoinen kahvila,1952,"Comedy, Musical, Romance",5.8,Thure Bahne,
Optical Surgery,1987,,7.8,François Miron,
Мир в картинках,1997,"Drama, Fantasy",7.2,Martin Sulík,"In Slovakia, the sixteen year-old Terezka is discharged from her school with a letter to her mother. Along her surrealistic journey to find her mother, Terezka entwines reality and fantasy a... Read all"
Organ,1965,Drama,7.0,Stefan Uher,"A young Polish deserter and gifted organist finds shelter from the fascists in a Slovak Franciscan monastery. He gets into a conflict with the local organist and choir leader, a man limited ... Read all"
El ABC del amor,1967,Drama,5.6,"Eduardo Coutinho, Rodolfo Kuhn, Helvio Soto",Three segments that have love as a theme.
Paksunahka,1958,"Comedy, Crime",5.6,Aarne Tarkas,
Panna zázracnica,1967,"Comedy, Drama, Mystery",6.7,Stefan Uher,"A group of artists meets a beautiful and mysterious woman called Anabella, and all of them experience passion, dreams and get inspired by her."
Pasajera,1997,Short,7.4,Jorge Villalobos,
Pastori Jussilainen,1955,Comedy,6.3,Matti Kassila,
Pekin genjin,1997,Sci-Fi,4.3,Jun'ya Satô,"In 1929 the fossil of a 500,000 year old man is discovered in China. In 1941 the Japanese army confiscates this find, but during the war the remains disappear."
Perpetrators of the Crime,1999,"Dark Comedy, Comedy",5.0,John Hamilton,"Tori Spelling stars in this suspense comedy about three college students who find themselves in need of some fast money. With more ambition than experience in criminal enterprise, they decid... Read all"
La philosophie dans le boudoir,1969,"Drama, Horror",5.5,Jacques Scandelari,"Zenoff enters a heavily guarded country mansion. He finds a vast orgy occurring within, presided over by Yald, a debauched libertine seeking to orchestrate an atmosphere of unbridled sensual... Read all"
Pieni luutatyttö,1958,"Drama, Family",6.0,T.J. Särkkä,
Pikku Suorasuu,1962,"Drama, Family",5.5,Edvin Laine,
Pimeänpirtin hävitys,1947,Drama,6.5,Ilmari Unho,
Планета обезьян,2001,"Action, Adventure, Sci-Fi, Thriller",5.7,Tim Burton,"In 2029, an Air Force astronaut crash-lands on a mysterious planet where evolved, talking apes dominate a race of primitive humans."
Pohjantähti,1973,"Drama, History, War",6.9,Edvin Laine,"A combination of Täällä Pohjantähden alla (1968) and Akseli ja Elina (1970), edited together by István Szintai for foreign markets."
Pokhishchenie 'Savoi',1979,"Adventure, Family",6.7,Venyamin Dorman,"Polish schoolboy Janek and his fellow traveler, the Russian girl Tanya, are on the journey to South America. The plane they are flying on is hijacked by a gang of drug dealers led by a forme... Read all"
Pontevat pommaripojat,1948,"Comedy, Crime",3.6,Ville Salminen,
PNYC: Portishead - Roseland New York,1997,"Documentary, Music",8.9,Dick Carruthers,"Portishead concert in the Roseland Ballroom, New York City, on the 24th July 1997 with tracks from the albums ""Dummy"" and ""Portishead"" played by the band and a 30 piece orchestra."
Psi a lidé,1971,"Comedy, Drama",7.0,Evald Schorm,
Некоторые птицы никогда не долетят,1997,Drama,8.0,Petar Lalovic,"Doctors predicted to Vesna one more year. Very sick girl was taken by her grandfather to the mountains. However, in this true story, faith played with little Vesna."
Puck,1942,"Comedy, Drama",6.0,Hannu Leminen,"Muotiliikkeen myyjä Liisa ja tunnettu säveltäjä Raimo Kaarna ihastuvat toisiinsa, mutta Kaarnan sukukartanossa kaikki eivät suhdetta hyväksy. Lisäksi Liisalla on omat epäilynsä, ja salaisuus... Read all"
Punatukka,1969,Drama,6.1,Maunu Kurkvaara,A young factory girl goes on a cabin trip with her friends.
Puppies for Sale,1998,"Family, Short",7.9,Ron Krauss,A boy enters a pet shop intending to buy a dog with a hip problem. The shop owner tries to convince him not to but the boy has other ideas.
Pää pystyyn Helena,1957,"Drama, Romance",5.5,Esko Töyri,
Päämaja,1970,"Drama, History, War",7.0,Matti Kassila,"June 1944. The attention of the world is focused on Normandy, but the change of the tide can be felt in Finland also. Rumours of preparations of a massive Soviet attack in the Karelian regio... Read all"
Radio tekee murron,1951,"Comedy, Crime, Thriller",6.9,Matti Kassila,"Eager young radio reporter Teräsvuori stages a one-man burglary into the Helsinki Art Museum, recorded on tape for a later broadcast by his friend Laakso. Things go awry when a gang of real ... Read all"
Radio tulee hulluksi,1952,"Comedy, Thriller",5.9,Matti Kassila,The ambitious radio reporter Toivo Teräsvuori (Hannes Häyrinen) is disappointed when ordered to report on an agricultural show in Mäntsälä. He convinces his superior to let him report using ... Read all
"С возвращением, мистер МакДональд",1997,"Satire, Slapstick, Comedy",7.7,Kôki Mitani,"Just before the live airing of a radio play, an actress decides to change the name of her character. This cascades into a battle of egos by all involved that causes continual script changes ... Read all"
Rakkaus alkaa aamuyöstä,1966,Drama,5.8,Jarno Hiilloskorpi,"Erkki has just been released from the army, but he refuses to receive the summer job that his father is offering to him and starts to think what he really wants to do with his life."
Rakkaus on nopeampi Piiroisen pässiäkin,1950,Comedy,6.2,Wilho Ilmari,
Raw Timber,1937,"Drama, Western",6.9,Ray Taylor,"Forest Ranger Tom Corbin(Tom Keene) patrols the lumber grant of the McFarland and Williams Lumber Company, party owned by Dale McFarland ('Peggy Keys'). Tom discovers that Bart Williams (Rob... Read all"
"Recsk 1950-1953, egy titkos kényszermunkatábor története",1989,Documentary,7.7,"Géza Böszörményi, Lívia Gyarmathy","This European Film Award winner documentary tells the story of Recsk, Hungary's most notorious political prison camp, which operated between 1950 and 1953. During the early 1950's the very e... Read all"
The Revenge Rider,1935,Western,6.4,David Selman,"When Tim learns that Harmon has shipped rustled cattle under his ranch's brand, he puts him in a locked room to confess and name Kramer as the man that forced him to do it. Tim returns to fi... Read all"
Riding Speed,1934,Western,3.8,Jay Wilsey,A Border Patrolman goes undercover to break up a smuggling ring on the Arizona-Mexico border.
Ringul,1984,Drama,6.3,Sergiu Nicolaescu,"Andrei is now a truck driver. But on one of his travels to Germany, he must become a boxer once again just for one night in the middleweight category."
Ритуал,1996,"Comedy, Short, Thriller",6.1,Gore Verbinski,
The River Chao Phraya,1995,,7.3,Sampson Williams,
Rosvo Roope,1949,"Adventure, Drama, Musical",6.1,Hannu Leminen,
Rustom Sohrab,1967,"Action, Adventure, Drama, Romance",6.6,Vishram Bedekar,"Powerful and mighty Rustom Zabuli (Prithviraj Kapoor) of Iran while on a visit to India,rescues a horse-drawn carriage of Shehzadi Tehmina (Suraiya). Impressed by his strength, the Shehzadi ... Read all"
Панк из Солт-Лейк-Сити,1998,"Dark Comedy, Comedy, Drama, Music, Romance",7.4,James Merendino,"In the early 1980s Stevo, and Heroin Bob are the only two dedicated punks in conservative Salt Lake City."
Salakuljettajan laulu,1952,"Crime, Drama",4.6,Lasse Pöysti,A customs detective infiltrates a smuggling organization.
San ge he shang,1980,"Animation, Short",7.7,Jingda Xu,Tale of three monks living in a hilltop monastery.
Saraba itoshiki daichi,1982,Drama,6.9,Mitsuo Yanagimachi,The film opens with the drowning deaths of farmer Yukio's two sons. Their deaths send him on a course of self-destruction.
Yuk po tuen III: Goon yan ngoh yiu,1998,"Drama, Horror",5.3,Aman Chang,"New prostitutes Susan, Fanny and Chinyun are inducted into the Fragrance House brothel where they are trained in the ways of lovemaking by their veteran madam Tall Kau."
Shadow Run,1998,Crime,4.3,Geoffrey Reeve,"Haskell (Sir Michael Caine) is assigned a job by his boss, the aristocratic Landon-Higgins (James Fox), to highjack a high-security van in broad daylight while it's in the shadow run (out of... Read all"
Sikátor,1967,Drama,7.3,Tamás Rényi,"Gabi's life turned out badly: she got married early, but soon her husband left her and her son. Since then, she has lived very introverted. One day Gabi met Vince, and this acquaintance gave... Read all"
Silja - nuorena nukkunut,1956,"Drama, Romance",6.6,Jack Witikka,"In the 1910s, beautiful young Silja loses both parents and ends up working as a maid at wealthier farms around her village. She is courted by a number of bachelors, ranging from simple farmh... Read all"
Simply Mad About the Mouse,1991,"Family, Music, Short",6.9,Scott Garen,A collection of music videos featuring contemporary artists performing classic Disney songs.
Skovridergaarden,1957,"Drama, Family, Romance",5.2,Ole Mynster,Finn and Claus are BFFs and both have a thing for their cute friend Eva. They both go to Copenhagen to study law but Claus would rather study music/piano and takes private lessons and Finn i... Read all
"Soita minulle, Helena!",1948,"Drama, Romance",5.0,Hannu Leminen,
Sotapojan heilat,1958,Comedy,5.1,Aarne Tarkas,
The Sound of Murder,1982,"Drama, Thriller",6.2,Michael Lindsay-Hogg,"The wife of a cynical children's author and her navy man lover decide to murder him because he won't give her a divorce. Their plan is so diabolically complicated it just might work, but the... Read all"
Sound of Peace,1997,"Music, Short",6.9,Barry J. Hershey,"""Sound of Peace"" is a cinematic meditation. Utilizing the deep resonance of the didgeridoo played by Nawang Khechong, a former Buddhist Monk the film gently, yet powerfully, transforms the v... Read all"
Le sourd dans la ville,1987,Drama,6.3,Mireille Dansereau,"A middle-aged woman is abandoned by her wealthy husband and moves into a cheap, dilapidated hotel where she develops relationships with the eternally optimistic owner and her deaf and termin... Read all"
Spion 503,1958,"Drama, War",3.4,Jørn Jeppesen,"During World War II, the sexy June Harvey (Margit Carlqvist) is a smooth operator within the Nazi ranks as well as within the growing resistance movement. Loosely based on real world person ... Read all"
The Squatter's Daughter,1933,Drama,5.8,Ken G. Hall,A story of rival sheep stations and of the strong-willed squatter's daughter who wants to unite them.
Stenbroens helte,1965,Crime,6.1,Poul Nyrup,"'Djævle John' is the leader of a small gang of juvenile criminals. They are trying to find the right scam to get rich. When they commit a robbery at a grocery store, they end up killing the ... Read all"
Säkkijärven polkka,1955,"Biography, Comedy, Drama, Music",5.9,Ville Salminen,"A biopic of Vili Vesterinen, a popular Finnish accordion virtuoso (1907-61). After years of playing by the ear and for free at local country dances in his home province Karelia, he is accept... Read all"
Taikayö,1954,"Drama, Musical, Romance",5.9,William Markus,
Tao no tsuki,1997,"Action, Fantasy",6.1,Keita Amemiya,A retired warrior comes to see his former lord and learns that someone is making indestructible swords from some unknown metal. He is sent together with a swordsman to investigate the source... Read all
Tau ching nam lui,1997,Drama,5.9,Otto Chan,The story of two friends and their different attitudes to women. Keith works in advertising and wants to marry his longtime girlfriend Wai but she is more intent on furthering her career as ... Read all
Temmink: The Ultimate Fight,1998,"Action, Sci-Fi",6.5,Boris Paval Conen,"Somewhere in the near future, exists 'the Arena'. Here men with an 'aggression-gene' with which they want to live no longer, are being admitted to fulfil their wish to die. Through fights to... Read all"
"Ter land, ter zee en in de lucht",1980,"Animation, Short",7.0,Paul Driessen,"Short animation telling three stories - of a man at home, a boat at sea and a bird. All three are seen simultaneously via a split screen and occasionally coincide."
Thirty Dangerous Seconds,1973,"Horror, Thriller",4.8,Joseph Taft,"A down-on-his-luck geologist robs an armored car, but at the very same moment, a trio of professional criminals attempts the very same crime. When the geologist gets the loot instead of the ... Read all"
Tie pimeään,1962,Drama,6.6,Ossi Skurnik,"Klaus Grahn is a young law student in his early twenties. He has a loyal and nice blonde girlfriend Anita, but is drawn towards a new love interest, the dark haired and more exciting Eija. F... Read all"
Желание петь,1961,"Music, Musical",4.9,Ville Salminen,
Toki o kakeru shôjo,1997,Sci-Fi,5.9,Haruki Kadokawa,A high-school girl acquires the ability to time travel.
Towers of Babel,1981,"Comedy, Short",6.7,Jonathan Lewis,Woman in a tower flat is missing. Neighbors and police investigate. Babel ensues.
Tragödie im Zirkus Royal,1928,,5.7,Alfred Lind,
Traumstraße der Welt,1958,Documentary,8.7,Hans Domnick,Documentary about the Panamericana from Alaska to Mexiko.
Планета сокровищ,2002,"Hand-Drawn Animation, Space Sci-Fi, Steampunk, Swashbuckler, Adventure, Animation, Family, Fantasy, Sci-Fi",7.2,"Ron Clements, John Musker","Jim Hawkins is a teenager who finds the map of a great treasure hidden by a space pirate. Together with some friends, he sets off in a large spaceship, shaped like a caravel, on his quest."
Tri dcéry,1968,Drama,7.3,Stefan Uher,
Приключение Тейт,1998,Drama,6.8,Paula van der Oest,"Tate, a young and crooked businessman, thinks he can get rich quick by buying a Russian freighter in the port of Rotterdam. This turns out to be a fiasco because the ship has been arrested, ... Read all"
Tulipunainen kyyhkynen,1961,"Psychological Thriller, Drama, Mystery, Thriller",7.1,Matti Kassila,Doctor Aitamaa is spending holiday with his family at their summer villa. He accidentally reads a letter that was meant to his wife. The letter is from another man. Aitamaa fallows his wife ... Read all
Twister's Revenge!,1988,"Contemporary Western, Action, Comedy, Sci-Fi",2.7,Bill Rebane,"Three bumbling criminals have been trying to get their hands on the computerized control system of Mr. Twister, a talking monster truck with a mind of its own."
tx-transform,1998,Short,6.0,"Martin Reinhart, Virgil Widrich","Tx-transform is a new film technique that transposes the time axis (t) and the space axis (x) with one another in film. Normally, each individual frame of film depicts the entire space but o... Read all"
Uncle,1997,"Drama, Short",6.8,Chris Grismer,
Untitled 1987,1989,"Music, Short",6.8,Barry J. Hershey,"A meditative film poem exploring the mystic's vision of the oneness of All and the possibility of a deeper, more profound reality through the use of camera, music, movement, color and light."
Uuteen elämään,1942,"Comedy, Drama",4.7,T.J. Särkkä,
Vain neljä kertaa,1968,Comedy,5.1,"Virke Lehtinen, Aito Mäkinen",
Verdes Anos,1984,"Comedy, Drama",7.0,"Giba Assis Brasil, Carlos Gerbase","Three days in the life of some school friends, and the discovery of how much time it takes to pass from adolescence to maturity."
Verta käsissämme,1958,Drama,5.9,William Markus,"An ex-POW gets romantically involved with his friend's wife, but a get-together in the countryside results in tragedy that sends their illicit affair into a downward spiral."
Una vida y dos mandados,1997,Drama,7.9,Alberto Arvelo,"The story of Romer, who on his 50th birthday, returns to the Andes where he grew up after he has a premonition that his mother has died. On his journey he comes to a fork in the road, and ta... Read all"
Vihdoinkin hääyö...,1957,"Parody, Comedy, Romance",4.8,Aarne Tarkas,
Villa Vennely,1964,Drama,4.2,Poul Nyrup,A somewhat romanticized fairy-tale about an erotic guesthouse. Everything is improvised with amateur actors and without a script. The movie decades later has received a cult status as an obs... Read all
Die Villa im Tiergarten,1927,,6.6,Franz Osten,The owner of a Berlin villa invites 4 friends to stay with him and hires a baroness to supervise their affairs. Meanwhile an ex boxer released from prison becomes involved with the villa whe... Read all
Villin Pohjolan kulta,1963,Western,5.4,Aarne Tarkas,The Vorna brothers arrives in a city ruled by a powerful bank manager and a saloon owner. The Vorna's are in trouble as they are suspected of a robbery murder years earlier.
Virtaset ja Lahtiset,1959,Comedy,6.0,Jack Witikka,Two upstart families compete while trying to overcome the generation cap with their children.
Bergmans röst,1997,Documentary,7.2,Gunnar Bergdahl,"In this 87 minute long conversation with Ingmar Bergman, he talks about his relation to the art of film. He expresses his passion for filmmaking and filmmakers. The film doesn't include any ... Read all"
Web of Desire,1997,Fantasy,3.4,Ernest G. Sauer,"Take a sexy look at the lust and allure of cyber-space. Come and get caught up in Amy Lynn Baxter's ""Web of Desire"". This red-hot ride through the Internet proves that reality is not only vi... Read all"
Welcome to Britain,1976,Documentary,6.4,Ben Lewin,Featuring the voices of different generations of British immigrants themselves.
What I Have Written,1996,"Drama, Mystery",6.9,John Hughes,"Truth and fiction collide when sexual obsession leads to betrayal. A voyage of discovery realigns subject, object and victim - things are not always as they seem."
"What Ignites Me, Extinguishes Me",1990,"Documentary, Short",8.7,François Miron,
Xiang qing,1981,Drama,6.4,"Bingliu Hu, Jin Wang","Kuang and his wife Liao left their son during the revolutionary war. When they finally find their son, Liao wants to get back him and breaks of all his relations with his foster mother."
Year of the Dogs,1997,"Documentary, Sport",8.4,Michael Cordell,Year of the Dogs is a documentary detailing the turbulent 1996 season of the Australian Football League (AFL) team Footscray Football Club (now Western Bulldogs).
Yhden yön hinta,1952,"Crime, Drama",5.9,Edvin Laine,"The streets of Helsinki, Finland, at night. Violence mixed with incidents and everyday life. Reported by police officers on the graveyard shift."
Yit huet jui keung,1997,"Comedy, Drama, Romance",6.4,Patrick Leung,
Ylijäämänainen,1951,Drama,6.0,Roland af Hällström,
Yûgure made,1980,"Drama, Romance",7.6,Kazuo Kuroki,
Yö vai päivä,1962,"Comedy, Drama, Romance",4.6,"Risto Jarva, Jaakko Pakkasvirta",
Zaporozhets za Dunayem,1937,"Comedy, Musical",6.6,Ivan Kavaleridze,
Tzlila Chozeret,1982,Drama,8.0,Shimon Dotan,
Äidittömät,1958,"Farce, Comedy",4.2,Jack Witikka,
"Лимонадный Джо, Или Конская Опера",1964,"Parody, Slapstick, Adventure, Comedy, Musical, Romance, Western",7.4,Oldrich Lipský,"Straight shooting Lemonade Joe cleans up Stetson City, in this musical parody of early Westerns, after shooting the pants off villain Old Pistol. Joe's endorsement of Kolaloka lemonade as th... Read all"
Night of the Living Bread,1990,"Parody, Slapstick, Comedy, Horror, Short",6.1,Kevin S. O'Brien,An explosion at a bakery causes bread to come to murderous life and attack people. A handful of desperate folks seek refuge in a secluded farmhouse. Will any of them survive the night of the... Read all
Папарацци,1998,"Comedy, Romance",5.4,Alain Berbérian,"At a football match, an unscrupulous photographer, Michel Verdier, takes pictures of a celebrity couple. Magazine editors go with the photos even though the dominant figure in them is a chub... Read all"
24 Nights,1999,"Comedy, Drama, Romance",6.3,Kieran Turner,"When Jonathan Parker was 4 years old, his mother's words and a chance encounter with a Salvation Army Kris Kringle instilled in him a lifelong belief in legend of Santa Claus."
51 Bar,1986,"Crime, Drama",7.3,Amos Guttman,"After the mother's death, the siblings leave the family home and go to Tel Aviv. They both intend to start a new life. They meet the transgender Apolonia, the owner of Bar 51, who offers the... Read all"
999 Aliza Mizrahi,1967,"Comedy, Drama",6.8,Menahem Golan,"The firm of Green, Greenberg and Greenbaum is in trouble: large quantities of jam are missing from the storage. Worse, two of the senior partners are murdered. The incompetent inspector Klei... Read all"
Abba Ganuv,1987,"Comedy, Drama",6.4,Jacob Goldwasser,Respectable single father and tour boat captain Chico fights tooth and nail to maintain custody of his dear son Ben while developing a romantic relationship with beautiful lawyer Galia.
Abba Ganuv II,1989,"Comedy, Drama",6.0,Avi Cohen,"Chico takes his unconditional love for his son Ben to the next level in the second installment of Avi Cohen's adventure trilogy, which picks up on a positive note -- soon after Chico won a h... Read all"
Abba Ganuv III,1991,Drama,5.7,Ayelet Menahemi,"n the final installment of this family-friendly adventure trilogy, Ben is basking in the success of his efforts to make his father, Chico happy -- until an unexpected visit from the milliona... Read all"
Abu el Banat,1973,"Satire, Comedy, Drama",6.9,Moshé Mizrahi,"A man with eight daughters, and no hope of an heir, takes a mistress to console himself. He finally consults a magician who gives him a list of instructions on how to make a son. Soon his wi... Read all"
Aconcagua,1964,"Adventure, Drama",4.5,Leo Fleider,The personal conflicts in members of a mountain military detachment and a rescue operation that impacts their lives.
Адам,1973,"Drama, Thriller",6.0,Yona Day,
Adamah,1947,"Docudrama, Documentary, Drama",7.3,Helmar Lerski,
Adon Leon,1982,Comedy,6.6,Ze'ev Revach,
Af Milah L'Morgenstein,1963,Comedy,7.0,"Arieh Elias, Benjamin Koretzki, Ben Oyserman",
Torn Apart,1990,"Drama, Romance, War",5.7,Jack Fisher,An epic love story set against the backdrop of Middle East turmoil.
Ahava Rishonah,1982,Drama,6.9,Uzi Peres,The ex-lover of a middle class woman appears on her birthday after 20 years. Both the mother and the daughter are romantically attracted to him.
Последняя любовь Лоры Адлер,1990,Drama,6.4,Avraham Heffner,
Aktivistit,1939,"Drama, History, Thriller",5.5,Risto Orko,"In 1916, Finland is still a part of Russian Empire. Eugen Schauman murders the governor of Finland, and his fellow activists take on smaller tasks in the fight for freedom."
Lo Tafhidenu,1947,"Documentary, Drama, History",4.0,Meyer Levin,
Alex Holeh Ahavah,1986,"Comedy, Drama, Romance",7.0,Boaz Davidson,This romantic comedy takes place in Israel during the Austerity period of the 1950s as 13-year-old Alex is about to attend his Bar Mitzvah. Alex has a typical Polish mother and father who su... Read all
Algunas nubes,1995,"Crime, Drama, Mystery, Thriller",5.5,Carlos García Agraz,
Alibi Racket,1935,"Crime, Drama, Short",6.0,George B. Seitz,"How police interrogation cracks the ""airtight"" alibi of a criminal."
All the Way Down,1968,Drama,5.5,Zoltan G. Spencer,"In a scuzzy Hollywood strip joint, two lesbian strippers are jealous of the new girl, whose incredibly sexy dancing is getting all the customers' attention--and money--so they hatch a plot t... Read all"
Always Tell Your Wife,1914,"Comedy, Short",7.0,Leedham Bantock,A husband fakes a cold to meet a blackmailing girl
Am Yisrael Hai,1981,Comedy,3.5,Assi Dayan,"A minor politician, suffering with a temporary sexual disorder that is soon to be written about in the local press, is sent anonymously to Eilat for rest and pleasantries. His wife, believin... Read all"
Любовники полярного круга,1998,"Drama, Mystery, Romance",7.6,Julio Medem,"In Lapland's cold Arctic Circle, under the eternal midnight sun, unfavourable circumstances reunite two kindred spirits. And governed by circular motifs woven by faith and love, they must an... Read all"
Американская кухня,1998,Comedy,6.1,Jean-Yves Pitoun,"An aspiring master-chef on a US military vessel is dishonorably discharged/quits his post and and instead feeeloling sorry for himself, uses the oppotunity to go to Paris, France and apply a... Read all"
Amud Ha'Esh,1959,"Drama, War",7.0,Larry Frisch,
Ani Ahmed,1966,"Documentary, Drama",7.8,Avshalom Katz,
Anna Liisa,1945,Drama,6.3,"Orvo Saarikivi, T.J. Särkkä","Anna-Liisa, the daughter of the wealthy Kortesuo house, loves Johannes. Cottage wife Husso threatens to reveal the young bride's past and ruin their wedding."
Anu ja Mikko,1940,Comedy,4.4,Orvo Saarikivi,
¡Aquí espaantan!,1993,"Comedy, Fantasy, Horror, Mystery",4.7,Joaquín Bissner,Ghosts cause a lot of funny and chilling problems to a young couple that recently moved in their house
Asessorin naishuolet,1937,Comedy,4.7,"Yrjö Norta, T.J. Särkkä","Judge Alfred Haaravirta's worries begin, when his longtime housekeeper dies. So Alfred sends a letter to his old friend Matilda and ask her to be his new housekeeper. But Matilda misundersta... Read all"
Астерикс и Обеликс против Цезаря,1999,"Buddy Comedy, Adventure, Comedy, Family, Fantasy",6.0,Claude Zidi,"In all of Roman territory, the village where Asterix and Obelix live is the only enclave that has not yet been dominated by the empire, thanks to the magic potion of the druid Panoramix. But... Read all"
Aviv B'Eretz Yisrael,1928,Documentary,2.4,"Ya'ackov Ben-Dov, Joseph Gal-Ezer",
Avodah B'Eynaim,1988,Comedy,5.1,Yigal Shilon,
Avoveteen,1939,Drama,5.4,Orvo Saarikivi,"Yrjö Niemelä moves to Helsinki. There he, unemployed, homeless, and penniless, tries to commit suicide but is rescued by a soldier of the Salvation Army."
B'Ein Moledet,1956,Drama,6.5,Nuri Habib,This is the story of a small band of Jews who traveled on foot from Yemen to Israel in 1926. Naomi (Shoshana Damari) is a Jewish woman who was orphaned as a child and works as an entertainer... Read all
Ba'al Hahalomot,1962,"Animation, Drama",5.2,"Alina Gross, Yoram Gross",The story of the Biblical Joseph and his coat of many colors.
Baba Luba,1995,Documentary,6.2,Julie Shles,
Badranit Ba'hatzot,1977,"Drama, Music",5.5,George Obadiah,"Tiki Dayan is an overweight girl who gains the attention of singer Pik. He wants only a professional relationship with her, she wants romance."
Ballhaus Barmbek,1988,,6.3,Christel Buschmann,"A study of the alienated people who frequent the Ballhaus Barmbek dance hall, including an obese El groupie, an old man reciting poetry, two young women and a regular dance employee."
Banot,1985,Comedy,6.2,Nadav Levitan,Four weeks of basic training for girls in the IDF: seven girls and two sergeants from different backgrounds.
Barbacoa sangrienta,1997,"Horror, Thriller",4.5,"Albert Cervera, Iñaki Devesa, Guillem Feliú","Un grupo de jóvenes se disponen a realizar una barbacoa en casa de un excéntrico amigo. Todo va perfectamente hasta que se comienzan a producir una serie de extraños sucesos, que desencadena... Read all"
My Father's House,1947,Drama,4.6,"Herbert Kline, Joseph Lejtes, Ben Oyserman",A boy who survived the Holocaust hopes to be reunited with his parents in the Holy Land.
Belfer,1978,Drama,7.9,Yigal Bursztyn,
Ben Gurion Zoher,1972,Documentary,7.3,Simon Hesera,
Berlin-Yerushalaim,1989,Drama,6.1,Amos Gitai,"Two interconnected stories in the 1930s, one set in Berlin, the other in Palestine: Mania Vilbouchevich Shohat (1880-1961), called Tania, a Russian Jew and revolutionary, goes from Minsk to ... Read all"
Лучшие планы,1999,"Crime, Drama, Thriller",6.1,Mike Barker,"A botched robbery leads two crooks and an unwitting buddy into a web of passion, crime and murder in this twist-laden film noir."
